# Time, Xc, Yc
1.983003815879084868e+03 1.564407596983973292e+02 1.089047773966859268e+03
1.983024247980589280e+03 1.564329963676729847e+02 1.089043569037037742e+03
1.983044679982092930e+03 1.564322306976914660e+02 1.089052545054330267e+03
1.983065112182666780e+03 1.564460280804593708e+02 1.089037676992305933e+03
1.983085544282766932e+03 1.564305244525458249e+02 1.089055060009272893e+03
1.983105976282873598e+03 1.564294588129193073e+02 1.089050488238765865e+03
1.983126408482043189e+03 1.564264551707102271e+02 1.089058642372252507e+03
1.983146840581219294e+03 1.564147512643534981e+02 1.089045073004972892e+03
1.983167272579928976e+03 1.564172538180200718e+02 1.089047250051698029e+03
1.983187704778174520e+03 1.564130541102647669e+02 1.089053145844845631e+03
1.983208136875946366e+03 1.564098240820274555e+02 1.089051310749204958e+03
1.983228568973259826e+03 1.564116040044615659e+02 1.089053402590123142e+03
1.983249001070100348e+03 1.564122260888298115e+02 1.089057248359789810e+03
